Seconds, SoC(%), Amps, GearMode, Odometer(miles), Trip(miles), Speed(mph), Contr. Temp (C), SideStand (1/0)
152.53932,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.55,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.56032,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.571,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.58131,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.592,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.60234,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.61299,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.62335,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.634,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.647,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.65732,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.668,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.67831,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.689,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.69931,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.70999,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.72035,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.731,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.74136,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.752,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.76234,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.773,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.78336,99,0.15,POWER,122.436295,25.108763,22.187695,24,0
152.79399,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
152.80699,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
152.81732,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
152.828,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
152.83835,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
152.849,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
152.85936,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
152.87,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
152.88034,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
152.89099,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
152.90135,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
152.912,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
152.92235,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
152.933,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
152.94565,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
152.957,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
152.96735,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
152.978,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
152.989,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
152.99931,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
153.01,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
153.02032,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
153.03099,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
153.04135,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
153.052,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
153.06235,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
153.073,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
153.08562,99,0.15,POWER,122.436295,25.108763,25.357365,24,0
153.097,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.108,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.11836,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.129,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.13933,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.15,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.16031,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.17099,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.18137,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.192,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.20232,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.213,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.22563,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.237,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.24731,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.258,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.26833,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.27899,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.28935,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.3,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.31099,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.32127,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.332,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.34235,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.353,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.3719,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.401,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.41135,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.422,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.433,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.4433,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.454,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.46426,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.47499,99,0.15,POWER,122.436295,25.108763,28.527035,24,0
153.4853,99,0.72,POWER,122.436295,25.108763,28.527035,24,0
153.496,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.50635,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.517,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.5273,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.538,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.55057,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.562,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.57231,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.583,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.5933,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.604,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.61432,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.625,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.63536,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.646,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.65631,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.66699,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.6773,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.688,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.6983,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.709,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.71931,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.733,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.74336,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.754,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.76431,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.775,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.78531,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.79599,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.80632,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.817,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.82732,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.838,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.84831,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.859,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.87,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.88261,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.894,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.90436,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.915,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.92532,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.93599,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.94632,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.957,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.96733,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.978,99,0.72,POWER,122.436295,25.108763,31.696707,24,0
153.98833,99,1.29,POWER,122.436295,25.108763,31.696707,24,0
153.999,99,1.29,POWER,122.436295,25.108763,31.696707,24,0
154.01,99,1.29,POWER,122.436295,25.108763,31.696707,24,0
154.02034,99,1.29,POWER,122.436295,25.108763,31.696707,24,0
154.034,99,1.29,POWER,122.436295,25.108763,31.696707,24,0
154.04431,99,1.29,POWER,122.436295,25.108763,31.696707,24,0
154.055,99,1.29,POWER,122.436295,25.108763,31.696707,24,0
154.0653,99,1.29,POWER,122.436295,25.108763,31.696707,24,0
154.076,99,1.29,POWER,122.436295,25.108763,31.696707,24,0
154.08632,99,1.29,POWER,122.436295,25.108763,31.696707,24,0
154.097,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.10735,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.118,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.12833,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.13899,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.15,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.16032,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.17099,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.18135,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.19499,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.20532,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.216,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.22632,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.237,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.24736,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.258,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.26833,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.27899,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.28932,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.3,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.31032,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.321,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.33133,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.342,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.35236,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.363,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.37564,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.387,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.39735,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.40799,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.41835,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.429,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.43932,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.45,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.46031,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.471,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.48131,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.492,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.5023,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.513,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.52332,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.534,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.54431,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.558,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.56831,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.579,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.58932,99,1.29,POWER,122.436295,25.108763,34.07396,24,0
154.59999,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.61035,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.621,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.63132,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.642,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.65233,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.663,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.67332,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.68399,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.69662,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.708,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.71835,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.729,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.73932,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.75,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.76035,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.771,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.78131,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.79199,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.80232,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.813,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.82336,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.834,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.845,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.8553,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.869,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.87935,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.89,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.90031,99,1.29,POWER,122.436295,25.108763,35.658794,24,0
154.911,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
154.92137,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
154.93199,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
154.94232,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
154.953,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
154.96336,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
154.974,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
154.985,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
154.99535,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.006,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.01636,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.03,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.04034,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.051,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.06134,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.07199,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.08226,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.093,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.10332,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.114,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.125,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.13539,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.146,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.15625,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.176,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.20395,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.215,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.22531,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.236,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.24626,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.257,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.2673,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.278,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.2883,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.299,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.30931,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.31999,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.3303,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.341,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.3513,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.362,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.3746,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.386,99,1.9,POWER,122.436295,25.108763,35.658794,24,0
155.39635,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.407,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.41734,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.428,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.43834,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.44899,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.45934,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
155.47,99,1.9,POWER,122.436295,25.108763,36.451214,24,0
