Seconds, SoC(%), Amps, GearMode, Odometer(miles), Trip(miles), Speed(mph), Contr. Temp (C), SideStand (1/0), %SoCPPM, AvgPPM, BATVolts, BATWatts, WH/MI, AVG WH/MI, AVG MPH LOG, 0x67, 0x101_D2
14.861,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
14.868282,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
14.879,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
14.887,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
14.894334,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
14.902,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
14.91,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
14.917325,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
14.925,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
14.933,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
14.940294,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
14.948,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
14.955289,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
14.963,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
14.971,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
14.978321,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
14.986,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
14.996,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.00329,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.011,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.018335,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.026,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.034,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.041287,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.049,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.056283,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.065,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.072327,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.08,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.088,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.095297,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.105,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.114614,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.123,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.131,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.138286,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.146,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.154,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.162,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.17,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.177328,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.185,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.193,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.200285,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.208,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.215316,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.223,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.233,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.240344,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.248,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.255243,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.263,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.271,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.278292,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.286,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.318,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.328618,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.337,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.344293,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.352,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.361528,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.37,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.377289,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.385,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.392278,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.4,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.408,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.415286,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.423,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.431,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.438341,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.446,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.4539995,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.461291,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.469,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.478608,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.4869995,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.494322,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.502,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.51,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.517284,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.525,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.532293,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.54,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.548,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.555286,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.564,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.572,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.579328,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.599,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.610434,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.621,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.632,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.642043,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.653,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.663019,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.674,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.684031,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.695,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.705045,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.716,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.726033,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.7369995,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.74933,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.76,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.771,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.78102,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.792,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.802057,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.813,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.823065,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.834,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.8440485,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
15.855,100,0,1,121.19329,24.114357,0,22,1,0,0,82.51,0,0,0,0,0,2
